label,tweet
marah,soal jalan  jatibarupolisi tidak bisa gertak gubernur emangny polisi tidak ikut pmbhasan jangan berpolitik pengaturan wilayahhak gubernur persoalan tn abang soal turun temurunpelikperlu kesabaran username username url
marah,sesama cewek  lho kayaknya harusnya bisa lebih rasain lah yang harus sibuk jaga diri rasain sakitnya haid dan paniknya pulang malam  sendirian gimana orang asing wajarlah banyak korban yang takut curhat bukan dibela malah dihujat
senang,kepingin gudeg mbarek bu hj amad foto dari google sengaja biar temanteman juga membayangkannya berbagi itu indah
marah,jalan  jatibarubagian dari wilayah tn abangpengaturan wilayah tgg jawab  dan wwnang gubtng abng soal rumitsejak gub  trdahuluskrg sedng dibenahiagr bermnfaat semua pihakmohon yang  punya otakberpikirlah dengan  wajarkecuali otaknya butekya kamu url
senang,sharing pengalaman saja  kemarin jam  batalin tiket di stasiun pasar senin  lancar antrian tidak terlalu ramai  menitan dan beress semua mungkin bisa dicoba twips di jamjam segitu  cc username
marah,dari sekian banyak thread yang saya baca thread ini paling aneh sih dalam penulisan sumpah aneh sangat  mau ngatain lebay saja  segala bikin thread aduh  saya juga tidak jago nulis tapi tulisan saya tidak seberantakan thread mbaknya
senang,sharing sama teman  tuh memang guna sangat  disaat kamu merasa  masalah kamu berat sangat  ternyata teman  kita sendiri punya masalah lebih berat dari  kita malah masalah kita tidak ada apanya dibanding masalah dia
sedih,orang lain kalau pakai  ponco itu buat jas hujan nah dia pakai  buat kasur ya tadi gara saking tidak punya apa mamak bilang kami tuh di awal pernikan tidak ada ngalamin bulan madu mirip  sekarang  orang tidur nya saja  pakai  ponco gimane mau bulan madu
marah,contoh mereka yang  gemar menyudutkan teriak paling toleran tapi gemar menuduh gemar menjudge seseorang berdasarkan versi mereka cukup tahu saja
sedih,pulang sudah h lebaran dilema sekali seperti tidak bisa melakukan apa dirumah sebelum lebaran buka puasa bareng hanya  hari sama keluarga begitu juga sahur
marah,betul min rakyat indonesia sekarang harapan nya tinggal sama tni saja kalau yang lain lihat saja sudah jelas penyerangan ke kantor media katanya tidak ada unsur pidananya sudah jelas menghina presiden indonesia yang sah cuma lucu lucu an saja tni url
marah,kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga beliin mereka hadiah dan sebagainya kan kpopers baru ya fansite sudah ada dari  jaman kamera belum  sebening sekarang 
senang,sangat bersyukur bisa mendoakan kakeknya bung karno bersama anakanak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomoruntukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur username h
